type,group,outcome,stakeholders,time
Structured,0,9,9,Not at all
Agile,0,9,9,A little
Agile,0,7,8,Not at all
Agile,0,10,10,Not at all
Structured,0,10,10,A little
Structured,0,7,8,A little
Agile,0,10,10,Not at all
Structured,0,5,8,Not at all
Agile,0,8,8,Not at all
Agile,0,9,9,A little
Structured,0,9,10,Not at all
Structured,0,10,10,A little
Agile,0,9,9,A little
Agile,0,8,9,A little
Agile,0,10,10,A little
Structured,0,9,10,A little
Structured,0,10,8,A little
Agile,0,9,10,Medium
Agile,0,8,7,Not at all
Agile,0,10,10,A little
Agile,0,7,7,Not at all
Agile,0,9,10,A little
Agile,0,9,10,Medium
Agile,0,7,9,A little
Agile,0,8,9,Not at all
Agile,0,9,10,Severe
Structured,0,9,9,A little
Agile,0,8,8,Medium
Structured,0,7,9,A little
Structured,0,9,7,Not at all
Agile,0,7,8,Medium
Agile,0,7,9,A little
Structured,0,9,10,A little
Structured,0,10,9,Not at all
Structured,0,8,10,A little
Agile,0,7,8,A little
Agile,0,7,6,A little
Agile,0,8,9,Severe
Structured,0,7,9,Medium
Structured,0,9,8,Severe
Agile,0,8,10,A little
Agile,0,8,8,A little
Agile,0,7,4,Medium
Agile,0,10,10,Medium
Agile,0,9,8,Not at all
Structured,0,7,8,A little
Structured,0,8,7,Medium
